"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",40384.9386665905,67636.7921243765,0.597085364313659,0.550466382808397
"2","Var1MAG2",140856.922666754,95652.8687377136,1.4725844036418,0.140900368483887
"3","Var1MAG3",16493.1226667695,95652.8687376943,0.172426848085425,0.86310609499278
"4","Var1MAG4",44654.5380000637,95652.8687377047,0.466839506115739,0.640626741810126
"5","Var1MAG5",49769.5846667363,95652.8687376996,0.52031460554743,0.602857946023864
"6","Var1MAG6",-20539.2466666048,95652.868737713,-0.214726928085397,0.829985407088279
"7","Var1MAG7",466.338000052272,95652.8687376913,0.00487531640406007,0.99611019078133
"8","Var1MAG8",4773.18466671492,95652.8687376976,0.0499011135756326,0.960202369041519
"9","Var1MAG9",10929.6000001155,95652.868737719,0.114263169984839,0.90903189138614
"10","Var1MAG10",31282.4766667316,95652.8687376994,0.327041698587366,0.743644445677034
"11","Var1MAG11",200110.846000086,95652.8687377113,2.09205273862521,0.0364635600712383
"12","Var1MAG12",-8229.46199993498,95652.8687377014,-0.0860346595824716,0.931440902900348
"13","Var1MAG13",125295.230666724,95652.8687377057,1.30989516906495,0.190266902372594
"14","Var1MAG14",107783.307333384,95652.8687376893,1.12681730047178,0.259851724483473
"15","Var1MAG15",-15699.4619999352,95652.8687376917,-0.164129546840751,0.869633086799007
"16","Var1MAG16",6049.38466675947,95652.8687377078,0.0632431075679251,0.949574414107846
"17","Var1MAG17",805763.492000171,95652.8687377097,8.42382986138827,4.24302552516846e-17
"18","Var1MAG18",9484.89200004264,95652.8687376955,0.0991595142436619,0.921013970930051
"19","Var1MAG19",90973.8000000551,95652.8687377,0.95108281853547,0.341589531493532
"20","Var1MAG20",180710.307333421,95652.8687377101,1.88923039860882,0.0588951624262994
"21","Var1MAG21",735564.73800004,95652.8687376996,7.68993912788036,1.63733925861964e-14
"22","Var1MAG22",-1863.27733329032,95652.8687376955,-0.0194795760741886,0.98445898969164
"23","Var1MAG23",233833.984666763,95652.8687377021,2.44461026368147,0.0145211588257633
"24","Var1MAG24",86583.184666742,95652.8687377032,0.90518126439227,0.365395167078216
"25","Var1MAG25",94107.4613334239,95652.8687377054,0.983843585407572,0.325220587142871
"26","Var1MAG26",83829.1846667537,95652.8687377074,0.876389655354971,0.380843147074218
"27","Var1MAG27",189723.046000057,95652.8687376998,1.98345380022336,0.0473490696332962
"28","Var1MAG28",17302.4306667148,95652.8687377014,0.18088773389705,0.856460034074958
"29","Var1MAG29",719865.553333374,95652.8687376997,7.52581248041182,5.7775123544832e-14
"30","Var1MAG30",179085.738000087,95652.8687377027,1.87224638804271,0.0612070266289606
"31","Var1MAG31",454993.476666752,95652.8687377017,4.75671543019197,2.0002802972838e-06
"32","Var1MAG32",695495.215333418,95652.8687377043,7.27103352478197,3.88560999352481e-13
"33","Var1MAG33",39021.9226667633,95652.8687377037,0.407953500838203,0.683318146592776
"34","Var1MAG34",457499.353333441,95652.8687377047,4.78291304140576,1.75696658319776e-06
"35","Var1MAG35",70316.5846667327,95652.8687377006,0.735122590620412,0.46228523391887
"36","Var1MAG36",16286.9533334003,95652.8687377024,0.170271457075293,0.864800732831484
"37","Var1mean(abundance)",72368.6446751591,99263.6730238958,0.729054672979286,0.465988420749401
"38","Var1total abundance",4018744.06133348,99263.6730238961,40.4855466144803,0
